SMILES,AA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
[O-]C(=O)C(C)N,A,9.462962962962962,9.462962962962962,0.8425925925925928,-1.2129629629629626,0.4061771581349481,13.666666666666666,88.08600000000001,82.038,88.04040201190999,36.0,0.0,0.057883516027907096,-0.5484641316050866,0.5484641316050866,0.057883516027907096,2.0,2.1666666666666665,2.1666666666666665,16.36742502993284,10.38534079524978,1.867172169083053,-2.012293211277303,1.6281136723862235,-2.387505142222863,5.695174183919312,-0.3064881772111127,1.3609640474436813,3.2575861612334887,59.813537528125096,5.1547005383792515,3.4711971193069777,3.4711971193069777,2.6427344100918364,1.6076070275816354,1.6076070275816354,1.1077107283236622,1.1077107283236622,0.37178502388347034,0.37178502388347034,0.0,0.0,-0.5700000000000001,5.43,1.7676338396942162,1.7215451895043727,35.76478180587526,15.634732056074714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.923737199690624,6.041840829147961,5.969305287951849,9.901064578912528,5.969305287951849,0.0,0.0,5.733667477162185,12.965578028838586,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,12.011146117099809,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,66.14999999999999,12.011146117099809,9.901064578912528,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,0.0,5.733667477162185,0.0,0.0,9.462962962962962,9.462962962962962,4.773148148148148,-1.2129629629629626,-0.8425925925925928,0.0,1.3564814814814814,0.0,0.6666666666666666,6.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.9164999999999992,18.656400000000005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)C(N)CCCNC(=N)[NH3+],R,10.116234882842026,10.116234882842026,0.12224206349206379,-1.2363888888888888,0.19655458963707295,12.166666666666666,174.20400000000004,160.092,174.111675688,70.0,0.0,0.28925256841572866,-0.5484527302193105,0.5484527302193105,0.28925256841572866,1.75,2.3333333333333335,2.75,16.367547373710092,10.155322520121217,2.015389506789745,-2.109432607254848,1.9042530848955161,-2.631739718305701,5.702051532687126,-0.30716809307435994,1.9663276882372422,3.3118352065890755,170.93102051518318,9.560477932315068,6.7996242440531685,6.7996242440531685,5.536581260209189,3.6456118300424203,3.6456118300424203,2.473087277100961,2.473087277100961,1.3330428522955808,1.3330428522955808,0.6791031009240841,0.6791031009240841,-1.1400000000000001,10.86,5.5026891587918625,5.6302150595147475,70.43471202895063,20.951520660081044,0.0,0.0,0.0,5.959554568743835,0.0,5.733667477162185,5.409283605791522,0.0,0.0,0.0,12.841643245852019,12.586597235060536,5.969305287951849,15.634732056074714,11.928859856695684,5.409283605791522,5.316788604006331,5.733667477162185,18.88348407499998,6.544756405912575,0.0,0.0,0.0,21.890650953171406,0.0,0.0,0.0,24.51545709175622,4.794537184071822,5.409283605791522,12.841643245852019,0.0,0.0,0.0,0.0,129.67000000000002,12.011146117099809,9.901064578912528,0.0,5.959554568743835,19.386399651764595,0.0,0.0,0.0,0.0,11.050456081168516,11.142951082953708,0.0,0.0,10.116234882842026,19.641781777525825,8.476779257999496,-1.114146825396825,-0.9112972411186695,0.9401388888888886,0.5171759259259259,0.0,0.6666666666666666,12.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,5.0,0.0,0.0,0.0,0.0,-3.3899299999999988,40.8339,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC(=O)CC(C([O-])=O)N,N,9.965277777777779,9.965277777777779,0.3726851851851851,-1.4640740740740739,0.4233361291216099,12.555555555555555,131.11099999999996,124.05499999999999,131.04621566391,52.0,0.0,0.2188715053204024,-0.5484366414186621,0.5484366414186621,0.2188715053204024,1.5555555555555556,2.0,2.111111111111111,16.36768370047505,10.207192308470757,2.0491546682157415,-2.0781189964628055,1.8161444425161226,-2.435972960877666,5.815663000772173,-0.3070384771598822,1.634374150092862,3.6324321519398444,133.77443751081734,7.439157588755425,4.663902460147014,4.663902460147014,4.036581260209188,2.2848577192758905,2.2848577192758905,1.5959656539819904,1.5959656539819904,0.7238470964994361,0.7238470964994361,0.30007946927532503,0.30007946927532503,-1.1,7.8999999999999995,3.032306526953668,3.479710144927536,51.63113671732834,21.368399533236897,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,12.011146117099809,14.69560176298435,11.876485017303356,0.0,0.0,11.46733495432437,12.462662452073971,0.0,0.0,0.0,0.0,16.573862349165076,0.0,0.0,0.0,17.918325846451317,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,109.24,17.918325846451317,14.69560176298435,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,5.733667477162185,5.733667477162185,0.0,0.0,19.756157407407407,9.790879629629629,9.475648148148148,-2.20787037037037,-1.2754629629629635,-0.3726851851851851,0.0,0.0,0.5,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,-3.061,26.7938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)C(N)CC([O-])=O,D,9.707546296296297,9.707546296296297,0.7060185185185186,-1.5840740740740735,0.42240287312503144,12.555555555555555,131.087,126.04699999999998,131.02295479982,52.0,0.0,0.058551551697392,-0.5500952102935546,0.5500952102935546,0.058551551697392,1.4444444444444444,1.8888888888888888,2.0,16.37445950808041,10.219120554237668,2.00774406506757,-2.111585221713605,1.8112882602183435,-2.448503284211868,5.774742283609088,-0.3162362532244024,1.634374150092862,3.632432151939845,132.52932501298082,7.439157588755425,4.494800481421251,4.494800481421251,4.036581260209188,2.200306729913009,2.200306729913009,1.5016612791830413,1.5016612791830413,0.6893292996350115,0.6893292996350115,0.26289171153160434,0.26289171153160434,-1.1,7.8999999999999995,3.032306526953668,3.479710144927536,51.08547977251165,25.535796634987243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.43196774002582,5.969305287951849,19.802129157825057,11.938610575903699,0.0,0.0,5.733667477162185,12.462662452073971,0.0,0.0,0.0,0.0,15.946722266843596,0.0,0.0,0.0,17.98045140505166,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,106.28,24.401273027977666,19.802129157825057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,19.339490740740743,19.339490740740743,4.734537037037037,-3.0778703703703694,-1.462962962962963,-0.7060185185185186,0.0,0.0,0.5,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,-3.7963999999999993,22.606399999999997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)C(N)CS,C,9.645324074074074,9.645324074074074,0.12731481481481488,-1.254629629629629,0.4138602432508065,13.428571428571429,120.153,114.10499999999999,120.01247301190999,42.0,0.0,0.05900179648960314,-0.5484197320127981,0.5484197320127981,0.05900179648960314,2.0,2.4285714285714284,2.4285714285714284,32.116866610825646,10.376544827549965,1.952095078907617,-2.0587531540699655,1.7696766366652124,-2.424707861283971,7.7984911059003394,-0.3063097319455086,1.6457113704075785,3.3434170589539596,75.33515884998701,5.861807319565799,3.625517495993483,4.519944686993399,3.1807392125526213,1.7547328148727104,2.3871883469063864,1.108102851858019,1.4732512235281294,0.4994457784110948,0.8928384749240421,0.07453559924999299,0.223606797749979,-0.22000000000000008,6.78,2.872924704797209,2.4720415224913497,46.919848469276985,15.634732056074714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.628789148012991,0.0,0.0,0.0,5.752853606746789,12.011146117099809,9.901064578912528,18.59809443596484,0.0,0.0,5.733667477162185,6.041840829147961,5.752853606746789,0.0,0.0,0.0,10.84019487200289,0.0,0.0,12.628789148012991,17.7639997238466,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,66.14999999999999,12.011146117099809,9.901064578912528,0.0,5.752853606746789,0.0,0.0,0.0,0.0,0.0,12.628789148012991,5.733667477162185,0.0,3.6090432098765435,9.645324074074074,9.645324074074074,4.877314814814815,-1.1273148148148142,-0.9274691358024694,0.0,0.0,0.0,0.6666666666666666,7.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,-2.0065999999999997,26.8354,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)C(N)CCC(=O)N,Q,10.079675925925926,10.079675925925926,0.018703703703703667,-1.3599537037037035,0.4491181306294733,12.5,145.138,136.06599999999997,145.06186572791,58.0,0.0,0.2169859169486883,-0.5484525065703204,0.5484525065703204,0.2169859169486883,1.5,2.0,2.3,16.36758121408473,10.15284569569616,2.0351354048742927,-2.0929635963954945,1.9048528685713277,-2.4177142011469663,5.756283789949097,-0.3071155641609902,1.820356593835518,3.4907296603908136,145.8284895747849,8.146264369941973,5.371009241333562,5.371009241333562,4.536581260209188,2.784857719275891,2.784857719275891,1.9305166433448724,1.9305166433448724,1.0044908713294727,1.0044908713294727,0.4156121456120069,0.4156121456120069,-1.1,8.9,3.8375573921028465,3.8485659349463233,57.99607883172496,21.3683995332369,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,6.4208216229260096,12.462662452073971,5.969305287951849,14.69560176298435,11.876485017303356,0.0,0.0,11.46733495432437,18.88348407499998,0.0,0.0,0.0,0.0,16.573862349165076,0.0,0.0,0.0,17.918325846451314,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,109.24,17.918325846451314,14.69560176298435,0.0,12.841643245852019,0.0,0.0,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,20.003261526832958,9.92358560090703,9.728013983371127,-1.9185648148148142,-1.090277777777778,0.020648148148148193,0.0,0.0,0.6,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,-2.6708999999999987,31.4108,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)C(N)CCC([O-])=O,E,9.862361111111111,9.862361111111111,0.14814814814814814,-1.4432870370370365,0.4432596517360522,12.5,145.114,138.058,145.03860486381998,58.0,0.0,0.05817904793070716,-0.5501705876039615,0.5501705876039615,0.05817904793070716,1.4,1.9,2.2,16.37071260929046,10.159875248200171,2.009497296865709,-2.1113647631728005,1.9018677600296845,-2.4216971237770095,5.71910801150074,-0.3087928475714698,1.820356593835518,3.4907296603908136,144.58337707694838,8.146264369941973,5.201907262607799,5.201907262607799,4.536581260209188,2.7003067299130095,2.7003067299130095,1.8362122685459228,1.8362122685459228,0.9622153766480321,0.9622153766480321,0.3912043773775524,0.3912043773775524,-1.1,8.9,3.8375573921028465,3.8485659349463233,57.45042188690825,25.535796634987243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,12.011146117099809,5.969305287951849,19.802129157825057,11.938610575903699,0.0,0.0,5.733667477162185,18.88348407499998,0.0,0.0,0.0,0.0,15.946722266843596,0.0,0.0,0.0,17.98045140505166,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,106.28,17.98045140505166,19.802129157825057,0.0,12.841643245852019,0.0,0.0,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,19.608703703703704,19.608703703703704,4.91162037037037,-2.7518981481481473,-1.210277777777778,-0.5001851851851853,0.0,0.0,0.6,10.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,-3.406299999999999,27.223399999999994,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)CN,G,9.131944444444445,9.131944444444445,0.38888888888888906,-1.2175925925925923,0.37991991402937425,7.4,74.059,70.027,74.02475194790999,30.0,0.0,0.05500514073772533,-0.5487695559979473,0.5487695559979473,0.05500514073772533,2.0,2.2,2.2,16.36605925452704,10.717499991234302,1.645935112641821,-1.8716066175011896,1.334926967768222,-2.298538550274142,5.656130876618532,-0.30284889207351584,1.3787834934861756,2.8473789230876716,42.91260938324327,4.284457050376173,2.6009536313038994,2.6009536313038994,2.270055610029662,1.1700499715209998,1.1700499715209998,0.5761326131600778,0.5761326131600778,0.1666666666666667,0.1666666666666667,0.0,0.0,-0.5700000000000001,4.43,1.7215451895043727,3.429999999999999,29.39983969147865,15.634732056074714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756405912575,5.969305287951849,9.901064578912528,5.969305287951849,0.0,0.0,5.733667477162185,0.0,6.544756405912575,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,12.514061693864424,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,66.14999999999999,5.969305287951849,0.0,0.0,6.544756405912575,0.0,0.0,0.0,0.0,0.0,5.733667477162185,9.901064578912528,0.0,0.0,9.131944444444445,9.131944444444445,4.5092592592592595,-1.2175925925925923,0.0,0.0,-0.38888888888888906,0.0,0.5,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,-2.3049999999999997,14.0614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)C(N)Cc1c[nH]cn1,H,10.151423847316703,10.151423847316703,0.2002314814814814,-1.2564814814814806,0.5275456092828888,12.818181818181818,154.149,146.085,154.06220007591,60.0,0.0,0.09225654369739116,-0.5484388894512277,0.5484388894512277,0.09225654369739116,1.9090909090909092,2.6363636363636362,3.090909090909091,16.367557010755277,10.169528464495057,2.0448734527944006,-2.0896897910259566,1.939758385169385,-2.427815774054281,5.706052418104625,-0.3069896233482268,2.3932748533488946,2.4987607772382443,231.98525149250435,8.267584713501616,5.780218034372735,5.780218034372735,5.198377302757663,3.1398895307307253,3.1398895307307253,2.1901934080800602,2.1901934080800602,1.286653998324024,1.286653998324024,0.7111867567554034,0.7111867567554034,-1.36,7.743734439834026,3.156503765422208,2.047487035715207,63.2506844139001,20.618710577021922,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,0.0,0.0,18.659506023687047,17.99055335756485,9.901064578912528,5.969305287951849,0.0,9.967957041894417,5.733667477162185,12.462662452073971,0.0,18.21809164122608,0.0,0.0,10.84019487200289,0.0,0.0,0.0,21.979103158994224,11.21535880699783,0.0,5.693927994848461,12.524163646377618,0.0,0.0,0.0,94.83,12.011146117099809,9.901064578912528,0.0,6.4208216229260096,5.693927994848461,0.0,6.3273200747645415,6.196843571613076,0.0,9.967957041894417,5.733667477162185,0.0,0.0,16.65738000755858,10.151423847316703,5.818333333333334,-1.2564814814814806,-0.9737962962962967,3.2698072562358274,0.0,0.0,0.3333333333333333,11.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,-1.9705999999999995,35.274100000000004,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-]C(=O)C(N)C(C)CC,I,10.063518518518519,10.063518518518519,0.009259259259258856,-1.1626388888888883,0.538595200054296,16.77777777777778,130.16699999999997,118.07099999999998,130.08735220391,54.0,0.0,0.05843934161986149,-0.548441460312626,0.548441460312626,0.05843934161986149,1.7777777777777777,2.2222222222222223,2.3333333333333335,16.36764345001577,10.006554647362336,2.095304806917646,-2.177575327420222,2.026875555995753,-2.4527677191417077,5.7058824776353365,-0.30822113196209827,1.8434495647494127,3.7161367711827205,103.23098268032228,7.439157588755425,5.755654169683151,5.755654169683151,4.091422815075581,3.0562954325653795,3.0562954325653795,2.2303511914486336,2.2303511914486336,1.5291667279175423,1.5291667279175423,0.4862417020386044,0.4862417020386044,-0.5700000000000001,8.43,3.454517317421779,2.4635710245386835,54.859608149065075,15.634732056074714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.268296022307258,5.917906046161393,6.041840829147961,5.969305287951849,9.901064578912528,5.969305287951849,0.0,0.0,11.651573523323577,26.31013685145522,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,12.011146117099809,4.794537184071822,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,66.14999999999999,12.011146117099809,9.901064578912528,0.0,5.917906046161393,0.0,6.4208216229260096,0.0,6.923737199690624,6.923737199690624,0.0,5.733667477162185,0.0,0.0,10.063518518518519,10.063518518518519,5.208472222222222,-1.1533796296296295,-0.8101851851851853,0.7729629629629631,3.6884259259259258,0.0,0.8333333333333334,9.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.8903000000000001,32.43739999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
