SMILES,AA,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
O=C(O)[C@@H](C)[NH3+],A,9.636574074074074,9.636574074074074,0.48148148148148184,-0.8518518518518514,0.4200714888359949,13.666666666666666,90.10200000000002,82.038,90.05495491609,36.0,0.0,0.3615187890867389,-0.4768609482240897,0.4768609482240897,0.3615187890867389,2.0,2.1666666666666665,2.1666666666666665,16.367425029932832,10.385340795249771,2.0379316565627277,-1.8590853932529985,1.6398279625354026,-2.625734167002014,5.703026892747987,-0.40155084549667225,1.3609640474436813,3.2575861612334887,59.813537528125096,5.1547005383792515,3.639918936339994,3.639918936339994,2.6427344100918364,1.7020046372302122,1.7020046372302122,1.2392852382794737,1.2392852382794737,0.42157100132219955,0.42157100132219955,0.0,0.0,-0.5700000000000001,5.43,1.7676338396942162,1.7215451895043727,35.76478180587526,10.84019487200289,0.0,6.041840829147961,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,6.923737199690624,0.0,0.0,15.634732056074714,5.969305287951849,0.0,0.0,0.0,12.965578028838586,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.117673511940517,4.794537184071822,0.0,6.923737199690624,0.0,0.0,0.0,0.0,64.94,12.011146117099809,4.794537184071822,0.0,0.0,0.0,0.0,6.923737199690624,0.0,0.0,5.733667477162185,5.106527394840706,0.0,0.0,9.636574074074074,7.9282407407407405,3.238425925925926,-0.8518518518518514,-0.48148148148148184,0.0,1.5300925925925926,0.0,0.6666666666666666,6.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.2985999999999998,19.985900000000004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C([NH3+])CCCNC(=N)[NH3+],R,10.289845993953136,10.289845993953136,0.15827522675736994,-0.8752777777777776,0.1765019683491044,12.166666666666666,176.22000000000003,160.092,176.12622859217998,70.0,0.0,0.3618198851075271,-0.4768527140516911,0.4768527140516911,0.3618198851075271,1.6666666666666667,2.25,2.6666666666666665,16.367547373710156,10.1553225201212,2.134459771754483,-2.0226617031691347,1.899707008028133,-2.6523763086951653,5.70920078175138,-0.408581841091644,1.9663276882372422,3.3118352065890755,170.93102051518318,9.560477932315068,6.968346061086185,6.968346061086185,5.536581260209189,3.740009439690997,3.740009439690997,2.5827197041255396,2.5827197041255396,1.4169917532079468,1.4169917532079468,0.7112136953616439,0.7112136953616439,-1.1400000000000001,10.86,5.5026891587918625,5.6302150595147475,70.43471202895063,16.15698347600922,0.0,6.041840829147961,0.0,5.959554568743835,5.969305287951849,5.733667477162185,10.203820789863343,0.0,0.0,0.0,6.4208216229260096,12.965578028838586,0.0,21.3683995332369,11.928859856695684,5.409283605791522,5.316788604006331,0.0,18.88348407499998,6.544756405912575,0.0,0.0,0.0,16.784123558330702,0.0,0.0,0.0,29.62198448659693,4.794537184071822,5.409283605791522,12.841643245852019,0.0,0.0,0.0,0.0,128.45999999999998,12.011146117099809,4.794537184071822,0.0,5.959554568743835,19.386399651764595,0.0,0.0,0.0,0.0,16.784123558330702,10.515811000632228,0.0,0.0,10.289845993953136,18.05471387629126,6.788091773746535,-0.7170025510204077,-0.5501861300075592,1.21625,0.5849537037037037,0.0,0.6666666666666666,12.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,5.0,0.0,0.0,0.0,0.0,-2.772029999999999,42.1634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC(=O)CC([NH3+])C(=O)O,N,10.033055555555556,10.033055555555556,0.19907407407407418,-1.1029629629629627,0.397511926861439,12.555555555555555,133.127,124.05499999999999,133.06076856809,52.0,0.0,0.36238168726643377,-0.47684104512783837,0.47684104512783837,0.36238168726643377,1.6666666666666667,2.111111111111111,2.2222222222222223,16.367683700475048,10.207192308470761,2.1680877847326787,-1.9595489221674152,1.8129871032348965,-2.6545812663399033,5.814737868305943,-0.40592732506066487,1.634374150092862,3.6324321519398444,133.77443751081734,7.439157588755425,4.832624277180031,4.832624277180031,4.036581260209188,2.379255328924468,2.379255328924468,1.7055980810065694,1.7055980810065694,0.7968249559461856,0.7968249559461856,0.33016134332318847,0.33016134332318847,-1.1,7.8999999999999995,3.032306526953668,3.479710144927536,51.63113671732834,16.573862349165076,0.0,6.041840829147961,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,0.0,0.0,0.0,6.4208216229260096,20.42926924014653,11.876485017303356,0.0,0.0,5.733667477162185,12.462662452073971,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,23.02485324129202,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,108.03000000000002,17.918325846451317,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,0.0,11.46733495432437,5.106527394840706,0.0,0.0,19.9975462962963,8.160601851851851,7.866203703703704,-1.7442592592592585,-0.9143518518518523,-0.19907407407407418,0.0,0.0,0.5,9.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,-2.4431000000000003,28.1233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C([NH3+])CC(=O)[O-],D,9.881157407407407,9.881157407407407,0.5324074074074074,-1.3912962962962958,0.42305227692471686,12.555555555555555,133.103,126.04699999999998,133.037507704,52.0,0.0,0.3622283575563458,-0.5499019880988335,0.5499019880988335,0.3622283575563458,1.6666666666666667,2.111111111111111,2.2222222222222223,16.37445950808037,10.219120554237666,2.139367019828019,-2.012715669289569,1.8082902632521054,-2.658199649317841,5.775563266965047,-0.4119686313368773,1.634374150092862,3.632432151939845,132.52932501298082,7.439157588755425,4.663522298454268,4.663522298454268,4.036581260209188,2.2947043395615863,2.2947043395615863,1.61129370620762,1.61129370620762,0.7623071590817609,0.7623071590817609,0.2884946766565218,0.2884946766565218,-1.1,7.8999999999999995,3.032306526953668,3.479710144927536,51.08547977251165,20.741259450915415,0.0,6.041840829147961,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,5.969305287951849,6.4208216229260096,25.535796634987243,11.938610575903699,0.0,0.0,0.0,12.462662452073971,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,23.086978799892364,9.589074368143644,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,105.07,24.401273027977666,14.69560176298435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.733667477162185,5.106527394840706,0.0,0.0,19.580879629629628,17.776990740740743,3.0573148148148146,-2.614259259259258,-1.1018518518518519,-0.5324074074074074,0.0,0.0,0.5,9.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,-3.1784999999999997,23.9359,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C([NH3+])CS,C,9.818935185185186,9.818935185185186,0.30092592592592604,-0.8935185185185179,0.3947862452675364,13.428571428571429,122.169,114.10499999999999,122.02702591609,42.0,0.0,0.3627051775547725,-0.47682887781458133,0.47682887781458133,0.3627051775547725,2.0,2.4285714285714284,2.4285714285714284,32.116866610825674,10.376544827549967,2.103688070472081,-1.9228362450718441,1.7686778274980617,-2.6553619977806635,7.7983839994034945,-0.3997437321068033,1.6457113704075785,3.3434170589539596,75.33515884998701,5.861807319565799,3.7942393130264995,4.688666504026416,3.1807392125526213,1.8491304245212876,2.481585956554963,1.2177352788825975,1.5828836505527082,0.5696273902928303,1.0104004658750467,0.07809262867138281,0.2342778860141484,-0.22000000000000008,6.78,2.872924704797209,2.4720415224913497,46.919848469276985,10.84019487200289,0.0,6.041840829147961,0.0,0.0,5.969305287951849,0.0,4.794537184071822,12.628789148012991,0.0,0.0,0.0,0.0,5.752853606746789,15.634732056074714,18.59809443596484,0.0,0.0,0.0,6.041840829147961,5.752853606746789,0.0,0.0,0.0,5.733667477162185,0.0,0.0,12.628789148012991,22.870527118687306,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,64.94,12.011146117099809,4.794537184071822,0.0,0.0,5.752853606746789,0.0,0.0,0.0,0.0,18.362456625175177,5.106527394840706,0.0,3.7115432098765435,9.818935185185186,8.070601851851851,3.2800925925925926,-0.5925925925925919,-0.5663580246913584,0.0,0.0,0.0,0.6666666666666666,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,-1.3887,28.1649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC(=O)CCC([NH3+])C(=O)O,Q,10.12786186696901,10.12786186696901,0.08379629629629615,-0.9988425925925923,0.42537609422203077,12.5,147.154,136.066,147.07641863209,58.0,0.0,0.3618349108978843,-0.47685254967100177,0.47685254967100177,0.3618349108978843,1.6,2.1,2.4,16.367581214084755,10.152845695696172,2.148665888074621,-1.9817778945642484,1.9002428809971734,-2.645286057406069,5.757273233162575,-0.40827239232287393,1.820356593835518,3.4907296603908136,145.8284895747849,8.146264369941973,5.539731058366579,5.539731058366579,4.536581260209188,2.8792553289244682,2.8792553289244682,2.0401490703694507,2.0401490703694507,1.0884397722418386,1.0884397722418386,0.4399650422325505,0.4399650422325505,-1.1,8.9,3.8375573921028465,3.8485659349463233,57.996078831724944,16.573862349165076,0.0,6.041840829147961,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,0.0,0.0,12.841643245852019,0.0,20.42926924014653,11.876485017303356,0.0,0.0,5.733667477162185,18.88348407499998,0.0,0.0,0.0,0.0,11.46733495432437,0.0,0.0,0.0,23.02485324129202,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,108.03000000000002,17.918325846451317,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,0.0,5.733667477162185,10.84019487200289,0.0,0.0,20.225058578987152,8.280269274376417,8.083422146636432,-1.4896759259259253,-0.7291666666666667,0.29675925925925917,0.0,0.0,0.6,10.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,-2.053,32.7403,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C([NH3+])CCC(=O)[O-],E,10.035972222222222,10.035972222222222,0.02546296296296302,-1.240833333333333,0.44802624651483186,12.5,147.13,138.058,147.053157768,58.0,0.0,0.361832314625592,-0.550167310168246,0.550167310168246,0.361832314625592,1.6,2.1,2.4,16.37071260929045,10.159875248200162,2.13500360221621,-2.01976303946405,1.897249337363156,-2.646022142540712,5.723950511763011,-0.40938925095050666,1.820356593835518,3.4907296603908136,144.58337707694838,8.146264369941973,5.370629079640816,5.370629079640816,4.536581260209188,2.7947043395615863,2.7947043395615863,1.9458446955705013,1.9458446955705013,1.0461642775603979,1.0461642775603979,0.4155572739980961,0.4155572739980961,-1.1,8.9,3.8375573921028465,3.8485659349463233,57.45042188690825,20.741259450915415,0.0,6.041840829147961,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,6.4208216229260096,12.390126910877859,0.0,25.535796634987243,11.938610575903699,0.0,0.0,0.0,18.88348407499998,0.0,0.0,0.0,0.0,10.84019487200289,0.0,0.0,0.0,23.086978799892364,9.589074368143644,0.0,12.841643245852019,0.0,0.0,0.0,0.0,105.07,17.98045140505166,14.69560176298435,0.0,12.841643245852019,0.0,0.0,0.0,0.0,0.0,5.733667477162185,5.106527394840706,0.0,0.0,19.830500755857898,18.013573318216174,3.2188425925925928,-2.323009259259258,-0.8491666666666668,-0.2240740740740741,0.0,0.0,0.6,10.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,-2.7883999999999993,28.552899999999998,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C[NH3+],G,9.305555555555555,9.305555555555555,0.0277777777777779,-0.8564814814814812,0.39122227797402404,7.4,76.075,70.027,76.03930485209,30.0,0.0,0.35862022469257776,-0.4770796302586087,0.4770796302586087,0.35862022469257776,2.0,2.2,2.2,16.36605925452704,10.717499991234298,1.8489197627778438,-1.6945711251390667,1.4023080072632166,-2.5351639662515124,5.6673865928820035,-0.35839446803209507,1.3787834934861756,2.8473789230876716,42.91260938324327,4.284457050376173,2.769675448336916,2.769675448336916,2.270055610029662,1.2812843335751842,1.2812843335751842,0.6437385432233531,0.6437385432233531,0.2138654714909552,0.2138654714909552,0.0,0.0,-0.5700000000000001,4.43,1.7215451895043727,3.429999999999999,29.39983969147865,10.84019487200289,0.0,6.544756405912575,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,15.634732056074714,5.969305287951849,0.0,0.0,0.0,0.0,6.544756405912575,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.62058908870513,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,64.94,5.969305287951849,4.794537184071822,0.0,6.544756405912575,0.0,0.0,0.0,0.0,0.0,5.733667477162185,5.106527394840706,0.0,0.0,9.305555555555555,7.659722222222222,3.085648148148148,-0.8564814814814812,0.0,0.0,-0.0277777777777779,0.0,0.5,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.6871,15.3909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C([NH3+])Cc1c[nH]cn1,H,10.325034958427816,10.325034958427816,0.37384259259259256,-0.8953703703703695,0.5045571070137879,12.818181818181818,156.16500000000002,146.085,156.07675298009,60.0,0.0,0.3622452860574957,-0.47684269626187636,0.47684269626187636,0.3622452860574957,1.9090909090909092,2.6363636363636362,3.090909090909091,16.367557010755284,10.169528464495038,2.159295213284612,-1.9756290247931958,1.936317154652893,-2.655017785200903,5.712889952922566,-0.4067746979710386,2.3932748533488946,2.4987607772382443,231.98525149250435,8.267584713501616,5.948939851405752,5.948939851405752,5.198377302757663,3.2342871403793025,3.2342871403793025,2.299825835104639,2.299825835104639,1.3596318577707733,1.3596318577707733,0.742300682904174,0.742300682904174,-1.36,7.743734439834026,3.156503765422208,2.047487035715207,63.2506844139001,15.824173392950097,0.0,6.041840829147961,0.0,0.0,5.969305287951849,0.0,9.77851570501903,0.0,0.0,0.0,0.0,6.196843571613076,18.442069692539015,15.634732056074714,5.969305287951849,0.0,9.967957041894417,0.0,12.462662452073971,0.0,18.21809164122608,0.0,0.0,5.733667477162185,0.0,0.0,0.0,27.085630553834932,11.21535880699783,0.0,5.693927994848461,12.524163646377618,0.0,0.0,0.0,93.61999999999999,12.011146117099809,4.794537184071822,0.0,0.0,6.4208216229260096,5.693927994848461,6.3273200747645415,6.196843571613076,0.0,15.701624519056601,5.106527394840706,0.0,0.0,16.94695483749055,8.480329743008316,4.188055555555556,-0.8953703703703695,-0.6126851851851856,3.5593820861678003,0.0,0.0,0.3333333333333333,11.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,3.0,0.0,0.0,0.0,1.0,-1.3527000000000005,36.60360000000001,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C([NH3+])C(C)CC,I,10.23712962962963,10.23712962962963,0.18287037037037002,-0.8015277777777772,0.5547167092082029,16.77777777777778,132.183,118.07099999999998,132.10190510809,54.0,0.0,0.36210794529368573,-0.47684457852104045,0.47684457852104045,0.36210794529368573,1.7777777777777777,2.2222222222222223,2.3333333333333335,16.36764345001578,10.006554647362325,2.209136752931426,-2.080591934284238,2.0209846176754844,-2.672552354680299,5.712762860936838,-0.4188057866135868,1.8434495647494127,3.7161367711827205,103.23098268032228,7.439157588755425,5.924375986716168,5.924375986716168,4.091422815075581,3.1506930422139563,3.1506930422139563,2.330262914939556,2.330262914939556,1.6480346820308172,1.6480346820308172,0.5279119279603366,0.5279119279603366,-0.5700000000000001,8.43,3.454517317421779,2.4635710245386835,54.859608149065075,10.84019487200289,0.0,6.041840829147961,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,13.847474399381248,6.4208216229260096,5.917906046161393,0.0,15.634732056074714,5.969305287951849,0.0,0.0,5.917906046161393,26.31013685145522,0.0,0.0,0.0,0.0,5.733667477162185,0.0,0.0,0.0,17.117673511940517,4.794537184071822,5.917906046161393,20.268296022307258,0.0,0.0,0.0,0.0,64.94,12.011146117099809,4.794537184071822,0.0,5.917906046161393,0.0,6.4208216229260096,0.0,0.0,13.847474399381248,5.733667477162185,5.106527394840706,0.0,0.0,10.23712962962963,8.421018518518519,3.50875,-0.6186574074074072,-0.4490740740740746,0.875462962962963,3.8587037037037035,0.0,0.8333333333333334,9.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,-0.2724000000000004,33.76689999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
